"role","skills","avg_yearly_salary"
"Data Scientist","haskell","157500.000000000000"
"Business Analyst","html","74851.666666666667"
"Data Analyst","html","84721.559523809524"
"Data Scientist","html","114787.879206730769"
"Data Analyst","hugging face","123950.000000000000"
"Data Scientist","hugging face","129916.666666666667"
"Data Analyst","ibm cloud","98400.000000000000"
"Data Scientist","ibm cloud","113113.941176470588"
"Business Analyst","java","92180.555555555556"
"Data Analyst","java","100463.114678899083"
"Data Scientist","java","128835.486233480176"
"Business Analyst","javascript","77617.222222222222"
"Data Analyst","javascript","90950.798780487805"
"Data Scientist","javascript","118796.207743710692"
"Business Analyst","jenkins","76950.000000000000"
"Data Analyst","jenkins","97415.666666666667"
"Data Scientist","jenkins","120113.621995192308"
"Business Analyst","jira","80729.583333333333"
"Data Analyst","jira","109442.346846846847"
"Data Scientist","jira","129708.581597222222"
"Business Analyst","jquery","156000.000000000000"
"Data Analyst","jquery","95772.000000000000"
"Data Scientist","jquery","103738.272977941176"
"Business Analyst","julia","136100.000000000000"
"Data Analyst","julia","74692.800000000000"
"Data Scientist","julia","130748.458333333333"
"Business Analyst","jupyter","50400.000000000000"
"Data Analyst","jupyter","100488.383333333333"
"Data Scientist","jupyter","136196.934938524590"
"Business Analyst","kafka","100660.000000000000"
"Data Analyst","kafka","130828.065789473684"
"Data Scientist","kafka","142100.874014639640"
"Data Analyst","keras","127013.333333333333"
"Data Scientist","keras","132541.252013530928"
"Data Scientist","kotlin","147925.000000000000"
"Data Analyst","kubernetes","100637.852213541667"
"Data Scientist","kubernetes","134007.045492256637"
"Data Scientist","laravel","115000.000000000000"
"Business Analyst","linux","78700.000000000000"
"Data Analyst","linux","115434.210000000000"
"Data Scientist","linux","130383.881481481481"
"Data Scientist","lisp","137295.000000000000"
"Business Analyst","looker","105625.800000000000"
"Data Analyst","looker","105154.461365049751"
"Data Scientist","looker","143072.912000000000"
"Data Scientist","lua","170500.000000000000"
"Data Analyst","macos","57933.184570312500"
"Data Scientist","macos","137166.666666666667"
"Data Analyst","mariadb","96500.000000000000"
"Data Scientist","mariadb","129308.333333333333"
"Business Analyst","matlab","120000.000000000000"
"Data Analyst","matlab","100483.606370192308"
"Data Scientist","matlab","126859.702704067888"
"Business Analyst","matplotlib","120000.000000000000"
"Data Analyst","matplotlib","103265.363636363636"
"Data Scientist","matplotlib","126719.816529605263"
"Data Analyst","microsoft teams","84739.545454545455"
"Data Scientist","microsoft teams","108800.000000000000"
"Business Analyst","microstrategy","98188.800000000000"
"Data Analyst","microstrategy","97139.950000000000"
"Data Scientist","microstrategy","136669.700000000000"
"Business Analyst","monday.com","70000.000000000000"
"Data Analyst","monday.com","65833.333333333333"
"Data Scientist","monday.com","79019.000000000000"
"Data Analyst","mongo","101780.312500000000"
"Data Scientist","mongo","104398.125000000000"
"Business Analyst","mongodb","118000.000000000000"
"Data Analyst","mongodb","119814.847826086957"
"Data Scientist","mongodb","125406.801856884058"
"Business Analyst","ms access","99995.000000000000"
"Data Analyst","ms access","85394.872070312500"
"Data Scientist","ms access","137267.857142857143"
"Data Analyst","mxnet","149000.000000000000"
"Data Scientist","mxnet","147988.933333333333"
"Business Analyst","mysql","96449.176136363636"
"Data Analyst","mysql","102536.029436383929"
"Data Scientist","mysql","125699.335022522523"
"Data Analyst","neo4j","108646.416666666667"
"Data Scientist","neo4j","166895.520833333333"
"Data Scientist","nltk","129310.602581521739"
"Data Analyst","no-sql","106651.400000000000"
"Data Scientist","no-sql","141066.400000000000"
"Data Analyst","node","97900.000000000000"
"Data Scientist","node","124200.000000000000"
"Data Analyst","node.js","119140.500000000000"
"Data Scientist","node.js","119119.734375000000"
"Business Analyst","nosql","121295.000000000000"
"Data Analyst","nosql","107724.429427083333"
"Data Scientist","nosql","130881.397327093909"
"Data Analyst","notion","116710.000000000000"
"Data Scientist","notion","168200.000000000000"
"Data Analyst","npm","73418.750000000000"
"Data Scientist","npm","147500.000000000000"
"Business Analyst","numpy","157500.000000000000"
"Data Analyst","numpy","105345.782608695652"
"Data Scientist","numpy","133592.801235465116"
"Data Scientist","objective-c","164500.000000000000"
"Business Analyst","opencv","89100.000000000000"
"Data Analyst","opencv","67818.000000000000"
"Data Scientist","opencv","128239.004261363636"
"Data Scientist","openstack","146697.035156250000"
"Business Analyst","oracle","92739.164583333333"
"Data Analyst","oracle","100494.783440959410"
"Data Scientist","oracle","117550.413377192982"
"Business Analyst","outlook","79969.659007352941"
"Data Analyst","outlook","80860.607360455975"
"Data Scientist","outlook","120647.763839285714"
"Business Analyst","pandas","110558.333333333333"
"Data Analyst","pandas","106784.096510416667"
"Data Scientist","pandas","137195.409030720339"
"Business Analyst","perl","79200.000000000000"
"Data Analyst","perl","127036.176470588235"
"Data Scientist","perl","135991.765306122449"
"Business Analyst","phoenix","135142.209821428571"
"Data Analyst","phoenix","110025.647058823529"
"Data Scientist","phoenix","127217.926829268293"
"Business Analyst","php","136100.000000000000"
"Data Analyst","php","109553.354352678571"
"Data Scientist","php","136416.880000000000"
"Business Analyst","planner","47500.000000000000"
"Data Analyst","planner","76241.333333333333"
"Data Scientist","planner","70966.666666666667"
"Data Analyst","plotly","111908.166666666667"
"Data Scientist","plotly","126846.067773437500"
"Business Analyst","postgresql","55700.000000000000"
"Data Analyst","postgresql","105665.828571428571"
"Data Scientist","postgresql","125120.297089041096"
"Business Analyst","power bi","91636.512009297521"
"Data Analyst","power bi","91940.485765588998"
"Data Scientist","power bi","116152.481972656250"
"Business Analyst","powerpoint","87306.923076923077"
"Data Analyst","powerpoint","88732.868742848970"
"Data Scientist","powerpoint","122857.323427914110"
"Data Analyst","powershell","105007.590856481481"
"Data Scientist","powershell","120056.857142857143"
"Data Analyst","puppet","129820.000000000000"
"Data Scientist","puppet","135893.000000000000"
"Business Analyst","pyspark","105300.000000000000"
"Data Analyst","pyspark","110616.953488372093"
"Data Scientist","pyspark","135198.190104166667"
"Business Analyst","python","103194.109948394495"
"Data Analyst","python","102023.059462962192"
"Data Scientist","python","137030.219196328684"
"Business Analyst","pytorch","125500.000000000000"
"Data Analyst","pytorch","126844.100000000000"
"Data Scientist","pytorch","143839.049187052506"
"Business Analyst","qlik","74880.000000000000"
"Data Analyst","qlik","101595.751253858025"
"Data Scientist","qlik","121938.526315789474"
"Data Scientist","qt","110000.000000000000"
"Business Analyst","r","107080.859649122807"
"Data Analyst","r","98676.098513279446"
"Data Scientist","r","135026.824133313199"
"Data Analyst","react","84786.538461538462"
"Data Scientist","react","130849.888888888889"
"Data Scientist","react.js","123750.000000000000"
"Data Scientist","redhat","189500.000000000000"
"Business Analyst","redis","90000.000000000000"
"Data Analyst","redis","99891.666666666667"
"Data Scientist","redis","140547.395432692308"
"Business Analyst","redshift","95533.076923076923"
"Data Analyst","redshift","110917.889692164179"
"Data Scientist","redshift","132412.121794871795"
"Data Scientist","rshiny","172636.821428571429"
"Business Analyst","ruby","150000.000000000000"
"Data Analyst","ruby","90550.500000000000"
"Data Scientist","ruby","140774.594827586207"
"Data Scientist","ruby on rails","191625.000000000000"
"Data Analyst","rust","111400.000000000000"
"Data Scientist","rust","120852.071428571429"
"Business Analyst","sap","86336.051041666667"
"Data Analyst","sap","92739.315262957317"
"Data Scientist","sap","122825.492307692308"
"Business Analyst","sas","103163.500000000000"
"Data Analyst","sas","92498.120088465074"
"Data Scientist","sas","121685.354644646624"
"Data Analyst","sass","67897.000000000000"
"Business Analyst","scala","101236.000000000000"
"Data Analyst","scala","112940.815217391304"
"Data Scientist","scala","142175.664300847458"
"Business Analyst","scikit-learn","120000.000000000000"
"Data Analyst","scikit-learn","102111.395833333333"
"Data Scientist","scikit-learn","140624.805101407285"
"Business Analyst","seaborn","120000.000000000000"
"Data Analyst","seaborn","113434.250000000000"
"Data Scientist","seaborn","134882.991666666667"
"Business Analyst","selenium","90000.000000000000"
"Data Analyst","selenium","82500.000000000000"
"Data Scientist","selenium","122814.000000000000"
"Business Analyst","sharepoint","93735.714285714286"
"Data Analyst","sharepoint","90069.020050262238"
"Data Scientist","sharepoint","111456.001531862745"
"Business Analyst","sheets","97820.000000000000"
"Data Analyst","sheets","84064.513440148305"
"Data Scientist","sheets","127307.500000000000"
"Business Analyst","shell","87628.187500000000"
"Data Analyst","shell","112339.588541666667"
"Data Scientist","shell","136297.510869565217"
"Business Analyst","slack","100500.000000000000"
"Data Analyst","slack","85284.521661931818"
"Data Scientist","slack","183971.900000000000"
"Business Analyst","smartsheet","79200.000000000000"
"Data Analyst","smartsheet","74312.647058823529"
"Data Scientist","smartsheet","115000.000000000000"
"Business Analyst","snowflake","113611.322580645161"
"Data Analyst","snowflake","112745.746610449735"
"Data Scientist","snowflake","140577.257709251101"
"Data Analyst","solidity","179000.000000000000"
"Data Scientist","solidity","167474.875000000000"
"Business Analyst","spark","112780.909090909091"
"Data Analyst","spark","114404.727564102564"
"Data Scientist","spark","143445.225829423592"
"Business Analyst","splunk","99150.000000000000"
"Data Analyst","splunk","112927.600000000000"
"Data Scientist","splunk","125776.375000000000"
"Business Analyst","spreadsheet","90877.500000000000"
"Data Analyst","spreadsheet","78553.070751404494"
"Data Scientist","spreadsheet","120010.764705882353"
"Business Analyst","spring","86500.000000000000"
"Data Analyst","spring","98998.975000000000"
"Data Scientist","spring","108664.634615384615"
"Business Analyst","spss","96662.640625000000"
"Data Analyst","spss","84129.898391544118"
"Data Scientist","spss","115714.407062500000"
"Business Analyst","sql","94934.425688976378"
"Data Analyst","sql","96802.312745402584"
"Data Scientist","sql","137800.212257179054"
"Business Analyst","sql server","89612.256944444444"
"Data Analyst","sql server","97121.491214514652"
"Data Scientist","sql server","112939.387790376106"
"Data Analyst","sqlite","139000.000000000000"
"Data Scientist","sqlite","117227.857142857143"
"Business Analyst","ssis","92889.291360294118"
"Data Analyst","ssis","98027.252148437500"
"Data Scientist","ssis","100082.953125000000"
"Business Analyst","ssrs","90349.285714285714"
"Data Analyst","ssrs","91008.216120793269"
"Data Scientist","ssrs","110559.088235294118"
"Data Scientist","svelte","99150.000000000000"
"Business Analyst","svn","93171.000000000000"
"Data Analyst","svn","400000.000000000000"
"Data Scientist","svn","124875.000000000000"
"Business Analyst","swift","103373.750000000000"
"Data Analyst","swift","76000.000000000000"
"Data Scientist","swift","125606.250000000000"
"Data Analyst","symphony","86266.666666666667"
"Data Scientist","symphony","113333.333333333333"
"Business Analyst","t-sql","91400.000000000000"
"Data Analyst","t-sql","94613.749202806122"
"Data Scientist","t-sql","123980.886363636364"
"Business Analyst","tableau","98296.855559593023"
"Data Analyst","tableau","98445.847694288390"
"Data Scientist","tableau","128185.822952480354"
"Business Analyst","tensorflow","125500.000000000000"
"Data Analyst","tensorflow","118183.075000000000"
"Data Scientist","tensorflow","141164.354263716356"
"Business Analyst","terminal","87400.000000000000"
"Data Analyst","terminal","80483.961538461538"
"Data Scientist","terminal","131854.062500000000"
"Business Analyst","terraform","30000.000000000000"
"Data Analyst","terraform","146733.833333333333"
"Data Scientist","terraform","132035.925000000000"
"Data Analyst","theano","100000.000000000000"
"Data Scientist","theano","154063.578125000000"
"Data Analyst","tidyverse","76116.666666666667"
"Data Scientist","tidyverse","133470.851351351351"
"Business Analyst","trello","57500.000000000000"
"Data Analyst","trello","65193.455357142857"
"Data Scientist","trello","107623.750000000000"
"Data Analyst","twilio","150000.000000000000"
"Data Analyst","typescript","89323.100000000000"
"Data Scientist","typescript","123829.166666666667"
"Data Scientist","ubuntu","107416.666666666667"
"Business Analyst","unify","79200.000000000000"
"Data Analyst","unify","112317.444444444444"
"Data Scientist","unify","130686.600000000000"
"Business Analyst","unity","81000.000000000000"
"Data Analyst","unity","100645.875000000000"
"Data Scientist","unity","174500.000000000000"
"Business Analyst","unix","100335.234375000000"
"Data Analyst","unix","112749.847064393939"
"Data Scientist","unix","118959.602040816327"
"Data Analyst","unreal","89112.500000000000"
"Data Scientist","unreal","153278.333333333333"
"Data Analyst","vb.net","64500.000000000000"
"Data Scientist","vb.net","70981.250000000000"
"Business Analyst","vba","86529.727272727273"
"Data Analyst","vba","94449.179538216561"
"Data Scientist","vba","118667.577785326087"
"Business Analyst","visio","86809.546875000000"
"Data Analyst","visio","102518.702389705882"
"Data Scientist","visio","120997.944444444444"
"Data Analyst","visual basic","88940.600000000000"
"Data Scientist","visual basic","121709.090909090909"
"Data Analyst","vmware","147500.000000000000"
"Data Scientist","vmware","124762.713541666667"
"Data Analyst","vue","65000.000000000000"
"Data Scientist","vue","115000.000000000000"
"Data Scientist","vue.js","77500.000000000000"
"Data Analyst","watson","95000.000000000000"
"Data Scientist","watson","196000.000000000000"
"Data Analyst","webex","115000.000000000000"
"Business Analyst","windows","80433.333333333333"
"Data Analyst","windows","87556.407590951493"
"Data Scientist","windows","123789.421686746988"
"Business Analyst","wire","95833.333333333333"
"Data Analyst","wire","77000.000000000000"
"Business Analyst","word","85907.293402777778"
"Data Analyst","word","83270.485044642857"
"Data Scientist","word","121591.124953497024"
"Data Analyst","workfront","65000.000000000000"
"Data Analyst","wrike","75000.000000000000"
"Data Analyst","yarn","99150.000000000000"
"Data Scientist","yarn","122737.628125000000"
"Business Analyst","zoom","75000.000000000000"
"Data Analyst","zoom","91914.071428571429"
"Data Scientist","zoom","153831.045454545455"
